name,institution,link
Danyang Zhang,Visiting SJTU PhD 2024,https://zdy023.github.io/
Fangyu Lei,Visiting CAS PhD 2024,https://lfy79001.github.io/
Junlin Yang,Intern 2024; THU BS,https://yangjl2003.github.io/
Junli Wang,Intern 2024; THU BS → UCSD PhD,https://junliwang.tech/
Ruisheng Cao,Visiting SJTU PhD 2024 → Alibaba Qwen,https://rhythmcao.github.io/
Xiaochuan Li,Intern 2024; THU BS → CMU PhD,https://xiaochuanli.com/
Zhennan Shen,Intern 2024; SJTU,https://scholar.google.com/citations?user=JPwg5MwAAAAJ
Dongchan Shin,Intern 2023-24; HKU BEng → Mila,
Jixuan Chen,Intern 2023-24; NJU BS → UCSD PhD,https://chenjix.github.io/
Leo Zeyu Liu,Intern 2023; UW BS/MS → UT Austin PhD,https://leo-liuzy.github.io/
Luoxuan Weng,Visiting ZJU PhD 2023,https://luoxuanweng.site/
Fan Zhou,Intern 2023; SJTU BS/MS → SJTU PhD,https://koalazf99.github.io/
Peng Shi,Visitor 2023; UWaterloo PhD → Amazon,https://scholar.google.com/citations?user=XTbDLrkAAAAJ
Siheng Zhao,Intern 2023; NJU BS → USC PhD,https://hilbert-johnson.github.io/
Toh Jing Hua,Intern 2023; NTU BS,https://github.com/ztjhz
Yuhan Liu,Intern 2023; XJTU BS → NYU PhD,https://lyh6560new.github.io/
Zhoujun Cheng,Intern 2022-23; SJTU BS/MS → UCSD PhD,https://blankcheng.github.io/
Chengzu Li,Intern 2022; XJTU BS → Cambridge PhD,https://scholar.google.com/citations?user=t_Bwt70AAAAJ&hl=en
Chen Wu,Intern 2022; THU BS → CMU PhD,https://chenwu.io/
Ryan Li,Intern 2022; UW BS → Stanford MS,https://www.linkedin.com/in/ryan-li-a9b2761b8/
Yiming Wang,Intern 2022; PKU BS → Harvard MS,https://rubywong123.github.io/
Yuhang Lai,Intern 2022; FudanU MS → CityUHK PhD,https://halfrot.github.io/
Da Yin,Intern 2020; PKU BS → UCLA PhD,https://scholar.google.com/citations?user=n32w34kAAAAJ&hl=en
Ming Zhong,Intern 2020; Fudan MS → UIUC PhD,https://maszhongming.github.io/
